TK20-2;TK20-3;TK20-4;TK20-5;TK20-6;TK20-7;TK20-8;TK20-9;TK20-10;TK20-11;TK20-12;TK20-13;TK20-14;TK20-15;TK20-16;TK20-17;TK20-18;TK20-19;TK20-20;TK20-21;TK20-22;TK20-23;TK20-24;TK20-25;TK20-26;TK20-27;TK20-28;TK20-29;TK20-30
1;2;6;519;44;90;46;39;1;38;7;1;23;102;283;189;168;31;1;33;6;2;5;83;703;193;5;43;12
976;235;44;1;0;0;0;2;0;47;1475;140;163;0;0;0;0;1;0;20;1027;171;20;2;2;0;0;0;4
2645;2250;614;86;67;177;64;36;11;2405;4836;1689;3762;61;450;88;83;56;8;720;2765;1493;633;161;69;62;4;23;36
628;1149;2248;3787;585;2895;207;587;125;1109;917;825;21065;634;28381;2152;374;214;6;827;539;903;4095;3507;8798;6859;89;411;246
533;471;425;685;27992;103054;20657;38629;3734;85;1216;308;1884;156;166916;100847;19852;20948;66;37;658;275;563;695;958;27984;51;6435;1303
1185;752;238;21;13;47;17;8;2;988;1915;407;924;16;51;15;17;12;1;233;804;533;98;22;45;28;0;10;13
457;258;126;3;8;12;4;3;0;450;827;196;599;4;11;2;2;2;0;141;636;170;73;7;5;5;0;2;3
1524;626;58;0;4;12;2;4;3;172;2789;435;225;0;7;4;2;6;0;69;2221;354;26;8;5;11;0;1;1
1309;653;631;493;333;251;53;48;21;284;3388;617;3644;690;2651;154;16;21;0;130;2506;477;665;1827;334;284;1;31;48
654;104;35;16;16;35;9;3;1;209;1165;64;128;20;84;16;1;5;0;57;671;65;23;10;24;15;0;7;8
908;205;97;64;65;194;301;23;11;331;1342;125;431;25;268;122;20;26;0;131;885;120;82;27;128;140;0;11;10
9821;3144;1141;352;318;1003;473;128;71;3456;16037;1842;7423;285;1642;433;47;106;11;1092;10619;2058;1397;457;489;540;11;61;156
252;1119;5751;342;102;155;477;39;16;337;873;887;38239;443;277;52;33;55;5;323;308;953;13071;3162;84;117;2;46;222
664;192;256;16;11;41;4;7;3;480;1415;178;1817;17;51;4;2;5;1;293;981;170;459;51;24;18;1;5;11
2857;1672;361;32;7;28;6;1;4;140;5503;1503;1926;13;41;7;10;18;2;44;4614;1291;267;30;15;5;0;4;11
2601;5225;3774;1418;276;664;149;67;26;2770;6260;4283;23082;1101;3187;404;69;65;9;1155;4034;4537;4732;1504;1255;823;10;65;127
488;361;3605;30;27;41;7;17;14;2236;1206;247;26652;15;46;8;2;20;0;829;526;299;3774;95;34;28;3;9;32
275;95;37;11;7;17;9;3;4;739;549;52;252;7;18;7;1;7;3;334;555;74;58;17;13;10;0;0;6
1363;2389;4505;1482;445;334;120;355;105;1010;3557;2284;28255;1305;14019;159;204;171;7;341;2276;1151;8453;824;1740;1954;15;133;152
506;186;4;22;12;9;1;3;0;68;813;60;41;102;292;6;0;3;0;27;683;110;2;143;607;116;0;3;6
279;180;107;38;27;51;14;79;32;609;466;133;900;24;167;27;4;21;0;517;367;132;120;282;53;71;1;20;14
286;296;317;103;19;84;8;31;4;702;447;261;2620;64;1043;67;23;14;3;485;307;175;306;172;101;183;0;8;12
316;224;511;77;29;122;89;77;118;148;541;174;4011;80;156;57;25;50;0;101;402;207;585;312;56;72;2;54;93
1129;777;728;656;14489;13211;1977;4370;525;458;2366;606;4050;379;94515;13975;1637;1774;13;308;1703;490;960;899;825;6760;27;861;237
1344;1137;760;878;271;1377;206;112;30;582;3433;1187;3938;417;7403;733;239;100;3;335;2138;731;831;529;578;1337;18;70;65
120;311;69;39;65;132;59;27;318;411;157;398;331;26;448;76;32;10;3;194;97;230;42;100;51;94;0;40;472
87;41;136;204;430;921;69;119;7;46;193;24;359;72;1689;503;228;131;1;50;107;20;103;132;153;327;29;74;11
74;65;92;315;234;62;12;75;7;50;267;56;468;160;365;28;73;40;1;58;80;35;112;88;184;98;8;71;22
298;239;394;5232;2480;5347;801;180;72;664;276;159;1642;4163;36688;2291;106;116;3;471;423;75;184;11130;19030;9260;30;138;213
175;114;281;40;24;97;171;619;218;152;287;117;1488;46;349;198;261;201;1;233;257;91;498;213;37;78;4;287;203
847;1017;900;8;11;23;13;21;8;1970;1226;833;4977;14;24;5;1;9;1;899;1016;468;661;31;27;15;0;14;20
2542;2493;1076;60;43;59;28;14;17;1382;4005;1993;4625;22;38;8;5;14;3;689;3642;1346;727;89;49;24;2;11;39
363;777;188;1579;112;40;9;27;5;441;556;374;2651;2524;3877;12;4;12;3;216;163;966;319;5666;642;1520;0;26;53
479;357;429;17;14;28;4;7;5;902;697;280;2847;11;55;7;3;7;2;393;502;173;444;89;33;33;0;7;11
758;200;196;37;9;15;8;9;16;454;1767;77;1475;18;89;10;3;7;3;175;1540;152;456;176;64;70;3;10;20
1753;1001;670;50;11;36;14;24;18;3482;3429;704;4053;52;112;24;7;15;9;2762;2165;666;555;91;101;61;1;17;25
1427;2231;724;432;2;21;132;12;13;2805;3960;1700;4656;127;86;10;9;21;10;3219;3491;3170;707;60;120;55;0;12;20
335;137;61;36;94;115;63;5;2;209;691;104;340;64;229;40;17;5;0;215;498;115;62;64;29;41;0;2;11
1824;2418;3875;886;1347;4420;223;43;38;747;2994;1247;22233;838;7805;1610;97;74;5;500;2166;1084;4502;2716;1660;2190;40;69;224
288;266;646;613;72;691;74;60;7;291;515;199;4466;554;3250;461;449;62;2;384;242;340;601;919;733;685;3;34;21
75;48;75;238;24;49;60;146;5;28;196;42;546;95;265;18;58;115;0;14;112;31;141;180;127;62;1;30;17
184;191;371;843;65;742;150;291;17;63;611;152;2105;197;2768;280;158;197;2;25;299;114;590;231;334;822;7;112;21
106;78;325;277;46;433;156;244;17;50;253;92;2000;154;803;157;213;137;2;39;93;75;486;226;158;209;1;48;41
70;50;139;555;33;150;76;104;10;65;193;56;612;129;335;50;7;71;0;44;155;47;151;84;83;36;1;36;23
158;102;206;160;97;363;220;431;6;176;354;86;1252;49;559;178;32;207;0;64;205;69;248;122;141;202;3;122;41
24;36;106;329;44;813;120;112;7;64;54;8;676;90;1032;264;225;112;0;37;25;17;175;240;247;472;1;67;22
20;27;24;126;46;280;40;59;24;17;31;16;182;44;384;83;46;29;0;16;19;18;23;113;170;244;2;52;15
27;18;34;34;45;299;79;100;28;6;22;6;101;37;316;111;15;78;0;11;16;7;18;71;84;146;8;47;50
42;84;155;555;15;290;398;630;16;34;73;79;992;68;626;93;192;398;1;39;37;49;104;195;200;189;11;573;30
136;236;442;769;82;312;49;168;1;161;474;197;2684;222;1228;134;148;55;3;109;239;146;358;588;592;420;11;55;14
31;29;87;426;43;615;76;48;0;35;49;38;587;77;1947;336;116;29;2;26;30;16;141;123;423;388;2;16;9
326;123;654;222;367;648;191;240;42;489;455;89;5752;136;1447;303;130;135;4;316;257;87;1473;337;297;659;7;177;30
1276;342;452;194;287;917;157;265;48;256;4984;95;2069;93;1597;364;190;93;3;274;1064;88;283;140;212;541;8;189;38
9;5;14;1608;63;9635;2623;6977;1444;175;12;1;227;41;11622;4988;27657;5431;101;98;6;15;12;384;360;3570;307;6438;1507
376;319;159;150;18;674;468;2407;134;749;519;201;995;94;1965;1545;3842;1904;10;750;437;139;135;258;160;954;150;1178;225
182;153;238;8;2;19;1;0;2;91;454;116;1887;11;30;2;1;4;0;30;197;83;29;157;5;7;0;2;5
18;15;85;39;11;107;34;169;2;44;40;18;443;13;179;59;33;97;0;21;14;9;121;148;26;73;3;82;10
112;33;43;26;14;41;12;16;221;52;219;19;712;13;82;17;4;19;0;11;106;32;159;33;11;19;1;15;167
2114;1942;463;791;2580;11012;2404;6263;580;124;5706;1717;2264;633;19301;8115;2659;3218;12;79;3297;1127;571;2232;937;4028;39;1294;288
255;85;152;343;94;1395;531;730;38;135;708;132;1274;192;2402;895;260;401;1;81;435;81;324;420;210;821;10;181;32
286;182;305;1279;357;4706;2139;2868;161;188;823;243;2181;413;5916;3013;720;1572;4;103;413;115;457;665;658;1694;31;745;129
285;317;775;326;48;573;357;167;27;542;283;202;3689;227;2653;311;76;127;5;516;375;191;695;477;510;669;14;132;96
3517;3959;2354;1119;404;635;156;308;59;1076;7100;3828;15092;773;3061;418;101;209;9;596;6549;3518;2684;1660;1150;850;16;236;249
1060;1081;240;67;6;31;5;12;3;945;1829;896;1452;77;111;15;4;8;4;517;1527;1197;194;162;64;34;0;10;13
815;233;99;42;14;24;9;7;5;1146;1250;142;950;16;100;13;2;4;5;620;783;151;67;34;37;38;0;4;4
104;187;935;253;590;1523;129;74;79;38;155;88;2734;284;6892;785;34;44;0;28;138;135;962;1264;445;1000;2;40;163
197;104;226;43;8;66;18;6;13;309;337;59;1442;142;259;28;57;6;1;188;289;91;181;105;61;133;1;10;15
1880;1702;289;42;53;136;83;50;16;777;2516;500;1086;65;194;47;27;24;1;674;2106;754;204;78;47;77;1;15;33
496;306;958;405;66;162;81;44;24;340;1063;238;7335;139;1018;108;11;32;2;288;527;178;1893;353;256;355;2;14;35
29;194;8;10;2;14;8;11;6;12;71;163;76;1;11;0;3;8;0;4;48;268;7;11;5;8;0;7;4
1375;1575;1777;881;251;608;169;171;57;700;2315;1198;9286;453;2725;336;344;128;4;326;1742;1091;1188;456;793;510;14;128;81
