TK20-2;TK20-3;TK20-4;TK20-5;TK20-6;TK20-7;TK20-8;TK20-9;TK20-10;TK20-11;TK20-12;TK20-13;TK20-14;TK20-15;TK20-16;TK20-17;TK20-18;TK20-19;TK20-20;TK20-21;TK20-22;TK20-23;TK20-24;TK20-25;TK20-26;TK20-27;TK20-28;TK20-29;TK20-30
1369;1976;352;44;10;79;7;18;2;406;2307;1652;1010;11;78;19;4;8;0;101;2249;1226;81;7;23;13;0;5;14
378;253;211;47;27;79;28;28;18;650;869;207;1478;25;179;28;17;19;0;183;561;276;182;32;23;20;0;21;28
2313;2945;1273;168;208;224;126;37;22;1186;4183;1554;7639;123;655;73;86;35;7;412;2093;1418;1758;272;104;94;4;20;65
918;965;272;51;20;44;18;16;10;3087;1798;607;2250;34;73;26;18;9;12;2966;1613;619;251;77;96;63;1;9;40
1063;1120;282;29;26;102;1;8;12;2481;1639;624;951;38;436;30;1;7;2;1122;1143;578;138;100;89;75;0;5;13
8289;10764;1160;34;36;188;17;58;48;14717;12972;6318;5679;56;151;50;17;71;43;8448;8685;6752;939;164;232;129;0;60;83
369;238;1140;610;67;338;25;19;13;1011;473;191;5445;730;9489;182;8;23;3;958;327;148;1495;3246;1279;2862;2;13;41
5442;3559;1971;290;182;468;104;139;31;2021;11616;2805;9156;271;1872;229;151;166;4;951;7841;2145;3036;629;382;366;8;120;120
4113;3564;1230;873;2626;4576;697;803;117;696;6163;1828;5205;1201;8153;1328;308;421;11;366;5444;2420;1009;4490;1142;2338;28;402;244
16728;20160;7968;937;1408;1863;555;204;153;8891;27044;12370;49099;704;4419;665;566;284;8;2860;19887;11306;10405;2310;707;519;17;173;414
829;656;204;30;11;45;7;9;7;534;1344;396;1934;23;210;20;1;21;1;266;907;457;93;97;41;65;0;6;17
1360;765;423;242;74;242;43;226;24;954;2326;703;2166;197;1516;173;44;115;1;502;2222;439;469;551;603;501;26;94;48
65;104;173;384;30;1697;120;895;84;46;91;84;894;111;6484;1793;814;700;6;28;74;56;174;123;309;1182;35;219;72
570;523;438;352;255;2167;155;52;9;412;1058;342;2297;198;2613;1112;27;32;3;393;836;510;449;508;457;600;4;26;32
867;2006;830;2254;370;366;140;21;53;634;1946;1712;6229;1368;1419;131;9;39;1;267;1373;1100;635;833;1262;481;1;35;176
1908;1585;1076;1699;395;3763;1099;2758;168;2345;4650;1520;5469;1836;8824;2608;2593;2241;14;948;3221;950;1325;2718;2100;2350;77;1251;220
2410;3038;575;71;28;59;44;20;20;2740;4970;2911;4282;168;67;10;1;27;8;841;2634;2610;643;249;86;32;0;11;41
874;291;230;4;2;12;3;1;10;573;1473;234;536;2;10;2;1;2;0;271;1097;181;58;11;11;1;0;6;9
11001;1406;664;26;18;72;43;21;27;3879;16384;1074;3669;29;55;13;0;25;8;1347;11496;730;450;127;42;21;0;17;34
1631;501;373;28;10;21;13;7;6;734;2322;392;3199;21;42;8;1;8;7;315;1647;245;338;103;13;12;0;4;10
12570;795;194;2;8;62;16;28;4;1429;21819;470;875;2;27;21;1;29;5;621;12414;537;91;48;24;11;0;11;23
435;526;680;225;34;54;30;63;24;2466;1152;444;3619;169;183;36;14;20;3;1369;676;421;804;531;193;88;6;39;65
388;91;732;23;36;64;9;14;4;881;862;55;6792;17;95;24;16;12;1;265;357;83;906;49;25;29;0;11;9
2512;1685;2666;103;46;75;22;17;10;1915;4433;1240;15992;226;229;29;14;22;2;893;3561;1428;1726;677;91;110;0;23;60
591;432;79;75;83;517;115;77;56;582;1193;277;367;119;877;277;69;67;1;341;950;248;52;257;125;233;3;93;80
2087;1403;168;53;104;498;89;31;21;1619;4285;915;876;35;977;225;10;30;2;830;2866;1224;178;103;110;194;0;26;38
395;360;130;12;2;24;7;13;5;904;535;200;664;13;88;7;7;6;1;635;629;153;69;46;22;48;2;8;13
422;234;140;43;10;39;15;46;32;1104;672;206;919;49;166;28;34;10;3;723;553;125;96;79;39;74;0;14;37
172;653;71;10;4;11;3;6;16;1320;285;533;406;7;24;7;1;9;1;788;132;323;48;10;15;14;0;3;28
3510;1719;298;6;12;31;16;12;1;630;6458;1098;1412;11;23;2;1;19;4;268;4326;1363;196;18;6;9;0;10;21
28256;2488;393;10;18;89;23;57;11;2712;43931;1706;2011;14;66;28;2;46;10;1132;26390;1799;266;53;53;21;0;28;57
763;134;1950;11;15;28;14;6;18;773;1281;95;5646;30;160;12;8;9;2;364;771;102;1329;30;14;32;2;33;11
3106;4211;3905;79;105;87;76;54;50;1478;5806;2145;29273;130;235;25;16;31;10;641;2509;2100;6437;248;181;33;0;39;95
82;32;63;36;20;114;80;351;99;169;132;25;371;67;540;81;77;130;4;198;81;46;63;175;222;218;16;333;82
89;49;75;98;53;337;264;956;348;185;206;38;574;148;1677;235;294;444;0;235;85;44;49;364;622;706;46;1204;317
44;94;120;119;7;133;15;42;2;175;65;69;538;70;389;101;456;34;1;92;33;78;67;214;92;141;5;34;12
127;135;195;622;166;1226;121;272;39;142;301;115;1314;324;2794;768;1529;174;13;157;211;105;171;325;431;485;29;136;55
5671;2377;290;12;13;51;10;17;8;1626;7818;1780;1475;8;27;6;2;14;7;681;8201;795;190;59;25;13;0;12;28
70;36;100;159;110;143;61;83;7;160;98;17;405;68;355;179;193;71;0;72;55;28;94;89;80;118;13;53;16
101;14;9;28;5;35;7;3;0;308;170;3;88;15;133;16;5;7;1;69;69;17;9;14;23;26;2;10;33
2243;1265;536;771;181;1428;166;274;48;569;4768;1034;2761;358;2997;588;384;186;4;205;2813;904;530;847;657;1228;37;185;112
4592;2746;1018;1336;373;1751;437;540;61;1516;9161;2052;6861;874;4506;855;349;321;6;745;6730;1770;936;3087;1382;1464;11;385;139
932;1482;2770;969;179;783;440;1155;193;813;2057;1239;15621;606;1906;422;376;503;6;404;1216;1291;4931;1915;910;861;36;584;366
69;10;82;11;6;26;3;7;4;911;71;10;422;14;69;9;3;10;2;289;51;7;137;21;16;13;0;7;15
1963;896;405;634;765;2890;518;477;146;818;4187;858;1988;311;4847;1586;310;240;5;265;2570;585;326;802;541;874;36;265;146
362;266;536;47;18;62;20;39;9;1102;710;200;3315;49;154;17;13;24;6;1125;441;162;582;434;94;58;3;26;38
1216;1534;1171;418;190;704;328;800;76;741;2210;1109;6216;693;2968;375;411;385;6;581;1676;1027;1104;2112;989;816;19;457;160
1223;1404;2232;5300;529;5077;422;241;20;859;2987;907;8155;973;15286;2785;1213;277;11;1139;1608;1208;2368;2323;3048;4761;66;210;114
283;98;62;68;25;208;7;55;4;297;271;53;375;35;533;290;34;12;0;160;318;63;227;528;69;571;31;18;24
748;430;677;5190;788;6520;1375;2759;1033;501;1969;296;2517;2235;31631;3095;2940;1736;12;389;590;249;495;3613;4304;11318;82;1463;882
800;600;680;1539;2279;11203;14813;41860;414;443;1716;333;2946;596;31587;10158;20273;23059;57;413;798;160;677;1581;2739;7062;375;19156;722
144;183;375;110;33;32;41;16;0;164;261;176;2373;123;209;16;4;18;3;141;222;117;470;184;191;73;2;8;26
74;132;241;771;166;234;40;50;4;77;126;114;1457;485;1734;152;26;34;0;45;108;92;318;337;1222;517;13;27;27
2010;2810;3557;3641;853;19981;2117;12673;4902;3162;3455;2082;19398;1627;41859;9715;4903;4834;45;2441;2794;1913;5344;5848;5741;16186;745;7190;5093
1047;1622;2295;1041;247;5698;521;4522;1819;1931;1857;1113;10404;567;10998;2980;1038;1487;18;1928;1359;1187;3458;2816;1832;4526;201;2114;1950
209;194;628;57;76;241;95;21;19;1328;324;175;4891;28;252;148;55;50;3;497;168;172;1391;239;58;112;2;38;111
237;115;117;71;20;69;17;6;2;52;370;76;417;42;367;117;9;4;1;10;293;95;86;16;87;133;2;10;9
439;581;71;519;348;430;83;27;7;42;1027;516;461;306;1994;259;33;20;1;14;633;923;44;801;332;301;3;23;22
772;681;789;228;1418;31;64;49;24;351;1690;446;3692;153;292;2;29;18;0;429;626;409;893;116;268;20;2;15;24
1855;1322;1390;132;2156;32;110;27;26;480;3523;681;5809;188;509;9;19;19;2;297;1597;1048;1263;81;146;14;0;12;27
36592;22084;12048;3909;10443;21639;4287;5217;6372;1178;57890;14961;82086;7744;61135;11922;1894;2324;27;423;47570;11094;9414;19487;6039;9197;196;3179;4202
93;26;21;132;246;33;9;10;5;52;178;18;198;46;164;10;7;4;0;15;96;44;50;10;41;65;0;7;9
258;144;51;230;358;956;2193;19075;3330;81;418;57;273;46;1388;455;4949;4774;17;123;328;62;70;64;211;349;39;2667;2347
1286;813;582;92;82;248;134;166;23;497;2498;423;2872;96;357;85;16;112;2;245;1368;506;609;347;128;146;1;87;46
2272;859;1024;170;67;228;73;80;20;965;5097;635;9617;148;743;102;65;66;0;559;3329;681;1022;574;197;260;4;65;70
52;33;152;181;27;167;38;135;342;74;132;18;1039;78;657;95;66;82;0;31;72;25;200;64;96;225;4;91;463
282;552;1279;223;45;123;62;9;2;159;433;560;8611;207;518;53;12;18;0;68;259;212;2032;271;199;133;0;8;28
499;527;903;74;458;2004;352;33;4;1018;1012;587;5343;59;791;981;488;40;3;813;641;368;1277;40;54;129;5;21;17
865;6284;16691;217;237;395;240;89;41;661;1645;5555;98518;135;420;105;51;90;12;283;945;2373;27735;553;130;138;2;126;199
459;63;44;32;23;18;4;19;0;92;632;53;354;38;37;4;5;8;0;29;325;71;27;16;14;5;0;12;16
26;29;161;196;1203;3695;981;220;15;15;47;21;1127;279;3059;1381;433;230;0;8;30;33;72;1095;255;548;17;165;58
588;266;125;433;641;1168;2673;15797;2276;134;735;89;630;64;1620;667;9082;4504;30;164;597;113;148;139;383;445;57;2399;1668
927;687;431;20;19;37;5;15;6;269;1600;614;2634;21;118;9;1;14;0;94;1411;329;616;91;20;43;0;5;13
4339;2658;1252;157;62;382;33;82;49;1840;6514;1787;7374;227;1635;156;54;55;7;730;5775;1472;789;667;310;444;7;48;69
36869;32250;14022;1842;760;3234;548;851;366;5180;57549;26985;70626;3047;15559;1306;126;560;14;1998;56071;16238;10081;11620;2579;6003;43;413;612
2265;1487;2379;2378;483;1355;377;374;138;2227;4518;939;14670;863;6549;747;94;169;5;1029;2959;1424;3375;3615;2194;1949;28;211;403
92;142;177;1285;106;179;67;248;43;38;151;165;1091;1063;1143;131;90;85;0;8;161;98;203;1599;1389;425;10;136;91
1164;1422;746;1447;572;1978;257;457;131;223;1886;1023;4307;1777;8173;991;82;161;0;79;1654;1373;1004;5086;2599;2216;23;254;250
111;1181;1039;500;146;89;14;31;9;136;132;849;7147;157;184;5;3;11;0;94;125;489;858;301;2375;92;1;24;63
1100;2263;4293;3707;173;276;30;70;37;1024;1589;1831;24882;2678;2628;51;5;40;3;891;1575;1130;4233;518;9685;748;0;56;143
834;598;1100;298;117;140;18;26;11;648;1249;504;9422;132;632;20;7;10;1;374;1450;377;1284;201;299;105;1;18;27
861;751;157;29;25;76;21;23;4;908;1482;399;955;30;168;56;60;17;0;604;1082;519;217;105;55;53;0;21;15
3623;2464;2261;684;214;609;207;314;104;2396;7192;1868;16851;662;2938;321;80;163;6;1105;5087;1556;2577;2782;831;768;29;146;211
34;37;809;5040;271;14840;3958;10495;435;90;16;24;4333;493;13650;5942;35102;7423;119;41;17;29;878;250;3018;4949;531;5520;900
78;92;420;644;125;592;81;210;42;108;141;84;2549;195;2050;268;222;119;0;48;73;62;490;468;543;566;42;265;69
23;171;2984;898;91;2220;609;1914;108;247;66;160;19911;196;2209;1109;3796;1084;14;93;53;101;1933;941;716;884;87;717;180
297;141;176;110;1413;882;31994;38503;845;287;618;67;1077;65;13782;1103;21643;44445;69;201;371;81;270;636;170;638;79;3376;582
274;375;538;1523;1140;5979;1182;4277;1369;257;712;279;2709;414;6606;2455;1660;2218;7;180;380;271;781;933;1582;2846;85;3377;2552
509;354;229;795;1041;4204;3162;2825;474;180;1085;260;903;248;6217;1767;2585;2937;9;127;452;232;274;527;878;2594;67;2859;530
983;612;358;670;4970;2917;557;2198;189;290;1675;320;2002;166;14848;2240;1219;1111;12;240;1010;426;469;631;539;2187;27;1159;194
9;29;58;744;209;1361;236;161;11;15;40;22;433;97;4763;951;1781;127;1;9;16;13;71;229;708;1681;29;94;41
325;98;137;347;681;2943;2610;6168;1067;146;555;48;817;234;5176;2104;6902;3706;26;70;456;60;230;763;396;1179;136;3500;972
107;102;130;264;107;792;1206;586;671;70;283;75;691;172;1358;411;303;412;3;38;137;61;201;271;244;445;14;300;347
285;195;322;669;3029;10591;20452;30153;2429;421;553;121;1871;230;19829;9101;14748;24975;52;483;387;124;483;1016;670;4747;613;6545;2102
256;223;217;53;29;824;908;1209;46;514;615;167;1828;44;934;483;171;596;1;485;302;242;366;427;151;267;7;149;82
607;713;354;103;96;314;264;140;13;777;634;482;1712;78;678;137;260;120;1;393;663;370;416;186;138;176;5;68;30
141;159;299;307;87;629;105;173;777;173;202;163;1668;94;1341;371;270;114;1;116;122;122;349;300;288;359;8;132;512
634;751;1024;622;248;752;153;1398;7396;582;987;618;4911;421;1758;387;161;402;7;712;944;519;1166;1154;971;609;35;1517;8690
3034;2591;3001;7724;3218;7528;1510;3756;1714;1382;5243;1821;15388;2774;19458;4460;1353;1447;18;1411;4323;1789;3600;5590;7586;6740;445;2380;2002
3677;4742;1458;711;143;3796;149;1068;387;843;3970;2379;7593;324;4119;814;243;455;8;983;4035;2980;1924;608;660;1402;37;774;633
374;232;193;74;18;162;31;284;37;1141;587;220;1086;98;688;116;45;117;5;568;517;168;161;379;135;298;15;137;24
131;116;150;548;55;51;59;52;16;112;160;73;1018;255;649;62;56;46;2;91;154;75;174;110;667;170;11;20;26
322;745;850;2682;172;58;65;100;33;522;523;679;4500;734;3689;192;65;50;4;474;420;389;761;331;2816;1109;4;28;42
2859;1734;1703;500;292;750;89;99;17;1488;5100;1284;10041;788;2098;270;14;90;7;657;3815;1095;2153;1116;393;429;0;66;82
2911;1659;1066;1083;150;509;207;47;33;1732;6465;1248;7554;769;3556;338;37;66;6;1318;4088;793;1160;1516;1232;963;6;56;119
831;630;453;524;85;220;113;25;9;660;2037;498;3499;374;1595;148;19;24;2;488;1254;239;541;581;572;410;4;26;36
5044;3871;4056;974;896;1559;244;948;1254;2989;8421;2428;19362;1036;6859;810;259;355;20;3197;6971;2750;3508;5146;1309;1675;31;717;1453
231;233;506;235;132;37;17;8;2;194;502;190;4066;173;953;19;1;5;0;105;314;144;855;445;256;122;0;10;28
6199;2320;104;40;25;71;50;33;18;366;9306;1512;545;18;143;15;4;25;2;171;6754;1232;84;70;28;31;1;24;35
26751;12274;622;147;78;225;169;123;44;1340;45388;8684;3466;128;555;78;19;88;13;543;31440;8590;402;312;127;107;3;73;159
41;301;245;5;12;13;4;8;3;365;94;297;1136;11;38;11;4;2;2;185;45;261;382;32;18;15;0;6;10
781;1048;800;90;31;68;15;17;3;822;1159;896;4537;130;165;16;3;31;0;423;595;737;782;266;127;83;0;8;39
1665;1660;5132;131;197;429;310;5368;198;2388;2104;1084;28173;214;1290;301;525;3652;12;2126;1816;1208;6483;1609;370;451;138;2566;488
2704;1320;1222;1516;184;388;328;965;149;1704;5107;946;6112;981;1505;232;194;376;2;993;3312;1028;1255;3293;1035;571;36;503;233
93;63;171;626;4501;1397;135;9869;75491;239;125;56;711;258;19120;1009;252;2445;11;273;119;74;224;1125;2100;2339;120;11063;75926
529;572;501;987;580;2368;1494;1246;237;1121;1000;440;2837;1083;7201;1547;644;672;6;766;764;284;351;1795;1730;2135;41;901;263
167;98;171;117;130;316;85;125;10;79;367;56;1158;63;336;107;12;67;0;147;250;88;205;253;112;91;2;49;27
173;53;196;97;87;206;53;89;6;80;421;40;1167;46;238;55;7;41;0;109;229;72;188;144;61;82;1;20;15
12910;15853;3422;233;198;899;260;230;187;13177;22099;10028;19168;171;1307;308;116;234;32;7575;16778;10554;4060;516;332;463;7;178;233
840;512;617;871;2044;4692;1908;15037;57025;466;1273;263;4273;1096;13031;2704;941;5395;17;330;1051;324;548;2553;2392;2150;128;13477;26207
2160;1788;1853;1831;659;2095;637;1037;364;2658;4285;1620;9753;1044;13984;1274;196;555;8;1145;3262;794;2088;2953;2548;2894;62;473;309
803;916;405;76;35;122;40;67;18;201;1103;681;1294;47;567;56;7;42;1;109;1230;428;286;133;128;110;3;40;27
1444;830;565;90;71;184;64;134;38;1485;2659;894;2381;82;702;99;23;73;6;646;2217;399;457;263;159;213;7;48;34
1420;1812;1454;12;34;103;38;51;6;798;3047;1135;10116;27;73;26;9;48;2;358;1549;1554;1884;390;21;41;2;37;44
509;426;964;287;130;310;165;589;81;1249;505;375;4963;340;1161;209;120;275;3;1100;498;241;1042;1155;346;298;16;163;91
561;1745;819;214;526;2492;1163;2036;376;980;628;1317;3330;115;12288;1123;589;1239;7;724;770;1075;776;1844;2411;3477;45;1206;504
146;77;295;429;87;728;192;571;51;225;362;66;1516;414;1304;341;539;411;1;123;171;97;468;303;287;305;26;357;46
71;95;468;141;40;251;11;16;9;576;136;89;4547;122;278;87;10;23;2;1092;108;79;486;114;73;115;0;12;23
146;109;124;1037;2758;8984;9475;3281;193;721;177;77;708;553;14347;3808;13631;3870;53;732;152;66;164;989;2344;3742;296;1884;322
104;28;5;34;189;1698;1827;1008;13;54;155;19;33;28;842;751;1224;689;5;24;111;12;7;55;82;304;16;85;30
437;392;224;11;5;22;1;8;8;362;667;279;899;11;33;5;1;4;0;148;698;253;139;40;11;11;0;4;6
352;133;61;3;3;1;2;2;1;219;519;77;278;3;16;1;0;1;0;141;525;82;44;7;3;6;0;1;4
1142;1497;73;2;1;19;5;11;3;854;1661;1481;630;9;18;0;0;2;2;583;1700;752;31;10;15;7;0;6;10
8797;4963;4345;2011;1967;4323;821;1106;173;2910;17201;3521;26147;2235;19579;2381;509;662;7;1199;11531;2990;4635;8052;3208;4684;87;618;645
245;207;251;24;14;20;8;5;2;421;372;174;1723;25;57;12;3;1;0;271;292;154;258;96;16;24;0;4;10
417;440;742;545;427;1758;394;1271;96;1226;844;321;4293;175;5743;1034;1223;704;5;1183;586;378;926;844;792;1361;109;690;216
4459;5904;4022;3332;1629;8903;1482;1293;195;1558;8429;4324;22435;2415;26451;5164;743;769;14;888;6615;3581;3816;7270;5276;7058;56;872;448
4566;7637;4177;103;61;177;81;55;32;1589;7526;7328;22840;157;212;32;6;56;7;711;6851;4260;2842;262;77;74;0;22;66
85;175;146;630;110;316;146;422;98;554;138;102;610;406;1355;245;281;187;1;352;106;119;125;611;926;358;10;115;111
1731;1103;341;21;13;37;10;5;9;1443;2883;811;1831;10;30;5;3;15;3;658;2759;474;183;28;22;18;0;11;9
1183;1357;806;12;13;35;8;12;8;1385;1968;1192;3750;10;36;3;0;6;3;576;1935;557;446;21;29;9;0;5;10
787;1314;839;4;8;24;5;12;2;1368;1107;1139;3844;10;37;7;5;2;9;736;1038;1080;517;40;14;26;0;11;15
5309;1683;855;539;145;529;249;488;437;3839;9267;1156;5698;611;3742;255;101;185;11;2081;6368;1039;836;2198;921;975;14;186;421
968;1002;636;150;25;116;40;51;19;896;1539;541;3454;104;555;58;47;30;1;724;1255;1165;580;266;130;216;1;48;35
5271;6199;8912;5067;621;543;293;117;96;1004;11882;4967;68980;6313;4777;265;26;130;10;700;5732;3950;17561;3160;4403;1914;2;122;359
922;1112;1052;20;8;28;11;36;10;2201;1266;727;6900;28;38;5;2;14;7;998;967;545;1343;31;46;23;0;13;14
2235;1343;857;96;40;428;382;859;79;354;5224;1153;5613;147;1185;406;870;630;7;154;3924;884;951;528;265;631;40;761;141
18;11;17;21;2;176;6;22;3;381;27;7;59;9;474;225;46;12;1;539;8;8;5;20;38;111;6;9;9
10;8;11;24;2;5;2;12;8;2925;32;8;85;5;121;18;27;5;7;917;14;6;11;20;33;22;0;24;29
211;117;285;511;672;329;97;156;39;634;460;75;3093;456;2318;110;110;125;2;335;244;76;631;765;116;156;5;142;23
1347;934;849;650;321;1121;353;492;51;333;2763;731;5466;536;4091;562;256;261;3;203;1934;650;883;2134;846;1074;49;758;121
215;23;24;15;5;13;4;9;0;68;393;23;131;12;26;13;8;4;0;30;201;22;23;7;8;6;0;4;6
1258;1139;702;374;199;1219;88;76;35;1428;2715;964;5100;277;1373;544;20;59;3;725;2026;701;493;670;260;371;0;62;53
1258;781;710;105;26;37;25;19;11;554;2292;707;6145;52;61;23;12;17;1;216;1951;490;887;195;25;30;0;18;37
229;138;981;1407;70;255;101;128;15;227;309;97;4717;859;5457;240;146;66;2;126;212;81;969;956;997;1002;7;49;31
412;239;2360;1715;121;5976;1318;2854;70;219;802;181;15160;1094;9343;3919;7491;2626;18;113;555;149;2702;2532;1464;2267;151;1311;138
180;164;302;85;37;115;32;62;18;959;327;106;1785;121;917;295;186;30;6;1209;246;118;165;401;107;352;14;117;31
636;694;607;168;263;55;28;9;11;806;984;621;3795;154;128;19;3;20;6;537;878;521;522;416;91;55;2;13;47
5677;5551;1307;2294;1393;3388;809;677;72;558;10146;4891;6763;2210;17470;2010;556;326;2;158;10295;4662;1662;3431;4742;4878;52;375;231
1984;1467;1162;1136;234;1243;327;683;85;817;4360;1240;6612;671;5427;702;352;354;6;526;3092;975;1229;1744;1232;1608;8;477;160
335;338;387;348;39;356;73;67;16;199;541;295;2064;133;1383;174;91;52;1;115;576;233;232;680;348;440;4;79;36
314;343;965;1313;314;4072;1364;1104;64;220;664;330;3922;629;5203;2254;972;581;7;152;691;241;883;1744;874;1446;23;525;121
2476;2384;4900;7286;1226;7557;832;647;249;1252;4659;2231;33144;3034;42376;3893;634;475;13;896;3375;1482;5623;4148;7973;9457;26;391;437
1441;1808;1154;65;31;32;60;4;6;566;2715;1447;7162;60;65;9;9;13;0;194;2422;1327;1763;76;34;14;0;23;40
984;438;197;188;2830;6589;1240;3698;563;1637;2245;359;1377;86;6020;2544;429;1455;1;794;998;353;180;232;190;677;80;1844;385
1317;1435;1220;485;178;408;104;47;42;590;2718;1267;6338;469;1353;161;45;41;1;276;1532;790;1256;1063;573;286;2;36;50
1912;1663;5099;723;192;250;206;236;59;1260;3500;1322;22246;652;619;51;9;123;6;555;2276;997;5066;1595;367;314;4;121;213
81;15;43;21;17;86;81;57;14;1800;108;20;160;27;187;22;88;60;3;1956;225;8;82;44;88;61;0;26;13
1990;1318;1011;529;263;2655;186;38;10;1191;3978;1048;5438;247;3805;1489;58;29;4;562;2950;980;1773;837;617;1102;1;34;48
1624;1084;961;936;44664;40156;12824;7937;2038;396;3104;814;5064;580;88534;68293;9037;4524;33;222;1606;730;1252;1827;999;8230;66;2005;1136
2760;1072;2650;41;54;77;5;65;44;5623;3957;736;6585;14;135;39;15;37;17;2316;2364;986;599;51;81;74;0;14;47
260;374;504;1578;742;7105;3830;3672;267;195;644;308;3094;531;11409;6175;3223;2773;15;103;369;261;738;1235;1008;2883;52;1997;286
2028;2277;2583;491;164;321;124;113;40;1008;3085;1971;12694;492;1092;101;7;73;0;472;2895;1433;2543;2013;387;553;5;93;160
303;232;211;22;8;18;17;4;1;95;506;252;1242;93;116;3;1;4;0;59;388;132;167;107;30;23;0;5;2
226;187;146;8;6;9;12;0;3;132;389;205;1044;61;55;0;2;4;0;98;257;124;158;69;26;8;0;0;5
131;202;224;96;29;227;49;354;25;502;212;202;1283;143;1008;135;77;126;0;320;148;134;181;503;165;309;13;148;25
23;58;147;343;93;504;16;133;53;67;25;55;1000;411;2556;310;9;55;0;53;16;29;213;831;625;888;14;28;41
1885;4977;3622;1309;483;1188;245;298;122;886;2657;3747;17445;1321;4517;544;49;173;4;465;2326;2293;2506;2837;1356;1480;26;159;233
1770;896;798;101;35;104;11;19;10;636;2469;671;3483;154;318;23;1;25;1;219;2198;431;451;310;83;77;0;19;21
789;392;1144;124;63;384;123;247;52;581;1149;317;7132;186;1565;280;22;99;0;333;1015;201;1017;754;315;420;19;94;42
235;43;105;96;5;18;8;2;4;1771;205;29;611;33;131;11;0;3;3;1721;246;9;142;58;70;52;2;15;8
1108;585;232;556;26;317;78;208;113;17769;2370;598;968;246;1519;194;146;163;109;26817;1541;520;683;546;1133;1003;1;159;333
1126;200;97;80;577;577;297;72;16;600;2062;66;614;27;785;229;141;68;4;224;922;96;197;114;90;176;8;67;46
2792;1035;82;113;533;2182;421;97;14;488;4983;730;960;127;939;1177;556;98;1;168;3057;638;71;75;66;138;14;55;29
79;31;146;205;307;921;1577;49;23;138;117;32;1078;75;3560;761;446;110;2;61;84;25;187;524;195;239;7;62;31
178;108;149;225;199;320;104;236;33;169;403;85;885;95;2119;236;142;114;0;86;212;79;170;161;416;676;18;118;32
273;109;64;131;1625;576;21;36;7;105;714;78;347;32;5655;206;12;13;0;34;305;59;129;132;70;204;1;11;14
285;310;496;119;24;375;22;3;12;461;398;221;3073;350;430;273;28;4;1;344;367;223;698;137;140;222;2;6;15
42;28;32;78;449;1296;5713;17511;3325;54;206;23;124;23;1547;817;7753;7457;25;39;37;24;32;97;115;536;58;5530;2135
585;647;446;802;132;77;24;15;10;592;948;503;1807;607;576;60;44;22;7;500;809;423;279;561;826;157;7;7;34
990;879;626;1174;278;704;28;147;26;1045;2056;611;3285;300;2785;255;17;59;3;675;1442;577;774;691;1416;750;29;74;107
744;382;331;131;197;503;273;31;2;402;1497;279;2202;80;896;288;35;30;3;332;679;265;481;222;159;210;28;18;24
384;242;262;353;479;1050;248;498;102;396;756;191;1993;226;6570;895;244;209;5;543;567;132;386;526;448;674;17;238;114
637;469;129;22;16;32;10;14;3;585;769;362;1000;22;115;5;2;13;1;522;850;296;151;62;42;26;0;14;8
5292;4421;2791;519;106;275;125;49;24;2904;9302;3094;14113;624;647;137;17;47;7;1517;7542;3298;3545;1309;352;286;2;63;82
120;237;235;111;9;66;12;40;6;647;321;264;1111;96;229;33;24;19;2;257;150;121;173;262;56;140;3;29;24
1052;625;411;75;19;26;18;5;4;370;1847;543;2054;157;127;10;5;5;4;128;1759;402;474;226;22;18;0;9;17
30;14;106;44;0;21;5;101;7;1202;30;14;556;71;154;18;131;48;5;2236;26;18;129;274;92;95;15;57;23
2559;2896;1094;332;1542;10084;6943;17105;1386;2177;5234;2295;7097;255;6516;9859;9605;9144;36;1213;4038;1784;1104;514;470;623;11;936;229
167;64;64;5;2;16;12;20;2;679;274;53;567;4;18;13;5;6;2;609;205;44;90;20;34;17;0;4;8
129;71;34;34;4;22;7;19;4;1132;169;47;386;15;44;8;12;5;2;898;113;36;43;92;118;38;0;12;4
130;107;118;21;10;6;7;1;0;371;261;115;806;22;28;0;3;0;3;300;141;106;109;47;19;7;0;2;2
686;610;1468;2793;1400;1053;172;187;37;795;1537;552;9615;2892;13523;726;108;155;8;742;955;457;2226;5796;2883;2867;11;73;119
421;376;1065;32;6;57;10;9;3;588;921;364;3071;30;169;21;4;2;2;384;435;266;600;101;44;53;0;3;6
2439;2059;1772;568;258;748;379;2470;1646;1535;3424;1615;14905;676;4213;725;276;988;5;1183;2664;1589;2590;2893;2933;2680;57;1859;1357
1189;988;1020;500;46;55;21;44;10;819;2136;900;5275;295;265;34;21;29;3;365;1404;752;1245;187;381;67;1;16;34
1219;412;686;29;20;27;0;6;1;492;1949;314;3109;22;48;7;2;4;1;185;1289;322;359;42;17;17;1;6;13
9426;11641;480;6;45;163;19;26;18;565;19635;6288;2915;10;25;12;4;26;0;143;14900;6617;265;35;15;6;0;10;56
34;45;60;57;56;583;50;91;3;22;93;31;253;39;793;224;19;54;0;12;50;23;53;54;207;388;2;27;2
116;58;132;97;88;114;44;98;3;68;249;41;862;21;231;58;28;55;0;48;101;41;200;60;52;74;0;34;10
13880;4636;557;289;77;124;102;26;9;3203;26576;3219;2840;508;333;61;10;69;3;1767;20208;2800;294;530;182;147;0;32;58
873;3037;3698;1980;144;242;19;45;25;1078;1536;2102;18149;1504;1824;18;3;37;6;615;1363;1259;3616;358;4817;435;1;51;96
